date,ticker,target,next_open,market_cap,mcap_cutoff,shares,buy_amt,sell_amt,pnl,ret
2020-04-10,000060,12645.0,13400.0,1546048000000.0,641599334176.0001,790,9989550.0,10480140.0,490590.0,0.04911032028469742
2020-10-08,000060,13610.0,13900.0,1580152000000.0,791506122936.0001,734,9989740.0,10100574.0,110834.0,0.011094783247612039
2020-10-22,000060,14760.0,15200.0,1727936000000.0,759005349679.9999,677,9992520.0,10187496.0,194976.0,0.019512195121951237
2020-12-15,000060,15880.0,16250.0,1960156250000.0,849778699108.0023,629,9988520.0,10119038.0,130518.0,0.013066750629722845
2021-02-22,000060,15360.0,15900.0,1893812500000.0,927549634999.9998,651,9999360.0,10247391.0,248031.0,0.02480468750000009
2021-09-01,000060,29045.0,29200.0,3522250000000.0,1093496970000.0001,344,9991480.0,9944352.0,-47128.0,-0.004716818729557537
2022-11-23,000060,52005.0,42700.0,4841466650000.0,786573261420.0007,192,9984960.0,8116416.0,-1868544.0,-0.18713585232189212
2021-04-20,000070,118720.0,127500.0,1070533875000.0,1020030538200.0,84,9972480.0,10602900.0,630420.0,0.06321597035040427
2024-09-23,000070,85490.0,86900.0,744235149900.0,725975738000.0,116,9916840.0,9979596.0,62756.0,0.006328225523453135
2020-01-15,000080,30345.0,31750.0,2219728788150.0,710744246410.0,329,9983505.0,10341292.0,357788.0,0.03583786455758764
2020-04-24,000080,30215.0,31300.0,2184661982650.0,640335983868.0001,330,9970950.0,10225710.0,254760.0,0.025550223398973948
2020-08-05,000080,44615.0,46000.0,3261212911500.0,790853761239.999,224,9993760.0,10200960.0,207200.0,0.020732937352908154
2021-01-05,000080,32400.0,33550.0,2328435885200.0,899679941000.0027,308,9979200.0,10230066.0,250866.0,0.025138888888888822
2021-01-06,000080,34495.0,35100.0,2405582857300.0,897949436120.0017,289,9969055.0,10042461.0,73406.0,0.007363385997970706
2021-05-26,000080,37275.0,38200.0,2675597259650.0,1040168693650.0001,268,9989700.0,10135224.0,145524.0,0.01456740442655935
2021-10-25,000080,37080.0,37500.0,2608970329200.0,1053548050000.0,269,9974520.0,9986625.0,12105.0,0.0012135922330096527
2022-02-04,000080,31075.0,32800.0,2328435885200.0,965304883400.0,321,9975075.0,10423512.0,448437.0,0.044955752212389344
2022-02-18,000080,35945.0,35600.0,2475716468300.0,960045709220.0,278,9992710.0,9797832.0,-194878.0,-0.01950201697037135
2023-05-09,000080,22875.0,23850.0,1655153219600.0,793496051160.0009,437,9996375.0,10318226.0,321850.0,0.03219672131147533
2023-10-17,000080,20508.0,20950.0,1472805831000.0,771758868080.0013,487,9987396.0,10100624.0,113228.0,0.011337039204212918
2023-10-31,000080,21700.0,21600.0,1490339233750.0,708538456657.5006,460,9982000.0,9836640.0,-145360.0,-0.01456221198156682
2023-11-14,000080,22665.0,23250.0,1630606455750.0,760135129530.0005,441,9995265.0,10150718.0,155452.0,0.015552614162806178
2024-05-07,000080,21040.0,20300.0,1420205622750.0,805048112927.9996,475,9994000.0,9546075.0,-447925.0,-0.04481939163498094
2024-06-10,000080,20162.0,20800.0,1444752386600.0,825537501640.0001,495,9980190.0,10193040.0,212850.0,0.02132724928082541
2024-08-13,000080,20375.0,20900.0,1472805831000.0,730778126354.9996,490,9983750.0,10138590.0,154840.0,0.015509202453987792
2024-08-14,000080,21635.0,22050.0,1528912719800.0,738955384023.0004,462,9995370.0,10085229.0,89859.0,0.008990062398890775
2025-05-29,000080,19947.0,20300.0,1430725664400.0,753869832242.0002,501,9993447.0,10068597.0,75150.0,0.007519927808693039
2025-07-07,000080,21315.0,21800.0,1525406039250.0,809944403051.9996,469,9996735.0,10121958.0,125223.0,0.012526389866291288
2020-03-27,000100,214100.0,220500.0,2981813726000.0,542908568975.9998,46,9848600.0,10041570.0,192970.0,0.01959364782811779
