seq,event,buy_date,sell_date,ticker,target,next_open,shares,buy_amt,sell_amt,pnl,ret_pct,slot_budget,morning_bankroll,bankroll_after_event
1,buy,2026-01-02,2026-01-05,486990,50650.0,58600.0,197,9978050.0,,,,10000000.0,100000000.0,90021950.0
2,buy,2026-01-02,2026-01-05,080220,28066.0,34750.0,356,9991496.0,,,,10000000.0,100000000.0,80030454.0
3,buy,2026-01-02,2026-01-05,036930,28190.0,31850.0,354,9979260.0,,,,10000000.0,100000000.0,70051194.0
4,buy,2026-01-02,2026-01-05,099320,72400.0,88000.0,138,9991200.0,,,,10000000.0,100000000.0,60059994.0
5,buy,2026-01-02,2026-01-05,095610,46520.0,56600.0,214,9955280.0,,,,10000000.0,100000000.0,50104714.0
6,buy,2026-01-02,2026-01-05,352820,348750.0,351000.0,28,9765000.0,,,,10000000.0,100000000.0,40339714.0
7,buy,2026-01-02,2026-01-05,610063,54720.0,54725.0,182,9959040.0,,,,10000000.0,100000000.0,30380674.0
8,buy,2026-01-02,2026-01-05,240810,72330.0,83000.0,138,9981540.0,,,,10000000.0,100000000.0,20399134.0
9,buy,2026-01-02,2026-01-05,700026,105660.0,105670.0,94,9932040.0,,,,10000000.0,100000000.0,10467094.0
10,buy,2026-01-02,2026-01-05,436140,110585.5,110395.0,90,9952695.0,,,,10000000.0,100000000.0,514399.0
11,sell,2026-01-02,2026-01-05,486990,50650.0,58600.0,197,9978050.0,11428758.0,1450708.0,14.539,10000000.0,514399.0,11943157.0
12,sell,2026-01-02,2026-01-05,080220,28066.0,34750.0,356,9991496.0,12247290.0,2255794.0,22.5771,10000000.0,514399.0,24190447.0
13,sell,2026-01-02,2026-01-05,036930,28190.0,31850.0,354,9979260.0,11162151.0,1182891.0,11.8535,10000000.0,514399.0,35352598.0
14,sell,2026-01-02,2026-01-05,099320,72400.0,88000.0,138,9991200.0,12022560.0,2031360.0,20.3315,10000000.0,514399.0,47375158.0
15,sell,2026-01-02,2026-01-05,095610,46520.0,56600.0,214,9955280.0,11991276.0,2035996.0,20.4514,10000000.0,514399.0,59366434.0
16,sell,2026-01-02,2026-01-05,352820,348750.0,351000.0,28,9765000.0,9729720.0,-35280.0,-0.3613,10000000.0,514399.0,69096154.0
17,sell,2026-01-02,2026-01-05,610063,54720.0,54725.0,182,9959040.0,9860350.0,-98690.0,-0.991,10000000.0,514399.0,78956504.0
